agent,episodes,score_mean,score_std,score_median,score_max,clear_rate,avg_deaths,avg_steps,avg_ttf,avg_hazard
astar_replan,50,3181.2,1483.95,2810.0,7800,0.14,2.84,301.44,119.32,112.88
astar_risk_l5,50,3146.4,1495.94,2755.0,7800,0.14,2.84,299.56,119.44,110.26
astar_risk_l05,50,3143.4,1493.74,2755.0,7800,0.14,2.84,298.54,119.44,109.26
astar_risk_l1,50,3143.4,1493.74,2755.0,7800,0.14,2.84,298.54,119.44,109.26
astar_risk_l2,50,3143.4,1493.74,2755.0,7800,0.14,2.84,298.58,119.44,109.32
heuristic,50,1694.6,636.28,1580.0,3310,0.0,2.82,373.98,155.56,201.22
astar_static,50,1478.8,624.67,1145.0,2800,0.06,2.92,171.78,24.42,5.84
qlearning_model1,50,1438.6,573.25,1250.0,2930,0.0,3.0,183.0,100.6,19.04
qlearning_model2,50,962.0,631.05,930.0,3350,0.0,3.0,199.74,86.66,14.78
qlearning_model3,50,656.26,373.43,630.0,1860,0.0,3.0,201.04,88.98,8.72
random,50,167.2,30.79,160.0,250,0.0,3.0,73.62,24.0,6.9
